序号,时间(s),电压(V)
164,0.67600000,-2.640000
165,0.68000000,-2.360000
166,0.68400000,-2.680000
167,0.68800000,-2.000000
168,0.69200000,-2.520000
169,0.69600000,-2.400000
170,0.70000000,-2.600000
171,0.70400000,-2.240000
172,0.70800000,-2.760000
173,0.71200000,-2.160000
174,0.71600000,-2.600000
175,0.72000000,-2.400000
176,0.72400000,-2.600000
177,0.72800000,-2.280000
178,0.73200000,-2.560000
179,0.73600000,-2.320000
180,0.74000000,-2.720000
181,0.74400000,-2.240000
182,0.74800000,-2.560000
183,0.75200000,-2.280000
184,0.75600000,-2.680000
185,0.76000000,-2.240000
186,0.76400000,-2.680000
187,0.76800000,-2.160000
188,0.77200000,-2.560000
189,0.77600000,-2.080000
190,0.78000000,-2.640000
191,0.78400000,-2.200000
192,0.78800000,-2.760000
193,0.79200000,-2.000000
194,0.79600000,-2.600000
195,0.80000000,-2.320000
196,0.80400000,-2.680000
197,0.80800000,-2.240000
198,0.81200000,-2.640000
199,0.81600000,-2.280000
200,0.82000000,-2.680000
201,0.82400000,-2.200000
202,0.82800000,-2.560000
203,0.83200000,-2.320000
204,0.83600000,-2.800000
205,0.84000000,-2.040000
206,0.84400000,-2.640000
207,0.84800000,-2.160000
208,0.85200000,-2.600000
209,0.85600000,-2.320000
210,0.86000000,-2.760000
211,0.86400000,-2.200000
212,0.86800000,-2.600000
213,0.87200000,-2.120000
214,0.87600000,-2.480000
215,0.88000000,-2.320000
216,0.88400000,-2.800000
217,0.88800000,-2.160000
218,0.89200000,-2.520000
219,0.89600000,-2.360000
220,0.90000000,-2.720000
221,0.90400000,-2.240000
222,0.90800000,-2.520000
223,0.91200000,-2.320000
224,0.91600000,-2.760000
225,0.92000000,-2.160000
226,0.92400000,-2.720000
227,0.92800000,-2.160000
228,0.93200000,-2.680000
229,0.93600000,-2.360000
230,0.94000000,-2.680000
231,0.94400000,-2.320000
232,0.94800000,-2.560000
233,0.95200000,-2.280000
234,0.95600000,-2.760000
235,0.96000000,-2.080000
236,0.96400000,-2.640000
237,0.96800000,-2.040000
238,0.97200000,-2.600000
239,0.97600000,-2.320000
240,0.98000000,-2.720000
241,0.98400000,-2.240000
242,0.98800000,-2.560000
243,0.99200000,-1.960000
244,0.99600000,-2.600000
245,1.00000000,-2.160000
246,1.00400000,-2.760000
247,1.00800000,-2.320000
248,1.01200000,-2.680000
249,1.01600000,-2.280000
250,1.02000000,-2.760000
251,1.02400000,-2.320000
252,1.02800000,-2.480000
253,1.03200000,-2.280000
254,1.03600000,-2.600000
255,1.04000000,-2.200000
256,1.04400000,-2.920000
257,1.04800000,-2.200000
258,1.05200000,-2.840000
259,1.05600000,-2.040000
260,1.06000000,-2.720000
261,1.06400000,-2.280000
262,1.06800000,-2.640000
263,1.07200000,-1.960000
264,1.07600000,-2.600000
265,1.08000000,-2.240000
266,1.08400000,-2.720000
267,1.08800000,-2.240000
268,1.09200000,-2.680000
269,1.09600000,-2.160000
270,1.10000000,-2.680000
271,1.10400000,-2.240000
272,1.10800000,-2.600000
273,1.11200000,-2.120000
274,1.11600000,-2.680000
275,1.12000000,-2.040000
276,1.12400000,-2.640000
277,1.12800000,-2.160000
278,1.13200000,-2.920000
279,1.13600000,-2.240000
280,1.14000000,-2.560000
281,1.14400000,-2.160000
282,1.14800000,-2.680000
283,1.15200000,-2.160000
284,1.15600000,-2.680000
285,1.16000000,-2.400000
286,1.16400000,-2.640000
287,1.16800000,-2.280000
288,1.17200000,-2.560000
289,1.17600000,-2.400000
290,1.18000000,-2.840000
291,1.18400000,-2.160000
292,1.18800000,-2.680000
293,1.19200000,-2.280000
294,1.19600000,-2.680000
295,1.20000000,-2.240000
296,1.20400000,-2.760000
297,1.20800000,-2.280000
298,1.21200000,-2.800000
299,1.21600000,-2.440000
300,1.22000000,-2.920000
301,1.22400000,-2.160000
302,1.22800000,-2.680000
303,1.23200000,-2.240000
304,1.23600000,-2.920000
305,1.24000000,-2.160000
306,1.24400000,-2.680000
307,1.24800000,-2.120000
308,1.25200000,-2.800000
309,1.25600000,-2.280000
310,1.26000000,-2.680000
311,1.26400000,-2.320000
312,1.26800000,-2.680000
313,1.27200000,-1.960000
314,1.27600000,-2.720000
315,1.28000000,-1.960000
316,1.28400000,-2.640000
317,1.28800000,-2.200000
318,1.29200000,-2.600000
319,1.29600000,-2.200000
320,1.30000000,-2.520000
321,1.30400000,-2.280000
322,1.30800000,-2.640000
323,1.31200000,-2.280000
324,1.31600000,-2.680000
325,1.32000000,-2.400000
326,1.32400000,-2.800000
327,1.32800000,-2.200000
328,1.33200000,-2.720000
329,1.33600000,-2.160000
330,1.34000000,-2.680000
331,1.34400000,-2.080000
332,1.34800000,-2.480000
333,1.35200000,-2.120000
334,1.35600000,-2.600000
335,1.36000000,-2.240000
336,1.36400000,-2.680000
337,1.36800000,-2.320000
338,1.37200000,-2.720000
339,1.37600000,-2.160000
340,1.38000000,-2.720000
341,1.38400000,-2.160000
342,1.38800000,-2.800000
343,1.39200000,-2.200000
344,1.39600000,-2.680000
345,1.40000000,-2.280000
346,1.40400000,-2.760000
347,1.40800000,-2.160000
348,1.41200000,-2.560000
349,1.41600000,-2.400000
350,1.42000000,-2.720000
351,1.42400000,-2.080000
352,1.42800000,-2.520000
353,1.43200000,-2.120000
354,1.43600000,-2.680000
355,1.44000000,-2.400000
356,1.44400000,-2.920000
357,1.44800000,-1.920000
358,1.45200000,-2.600000
359,1.45600000,-2.280000
360,1.46000000,-2.760000
361,1.46400000,-2.160000
362,1.46800000,-2.560000
363,1.47200000,-2.160000
364,1.47600000,-2.680000
365,1.48000000,-2.280000
366,1.48400000,-2.680000
367,1.48800000,-2.200000
368,1.49200000,-2.560000
369,1.49600000,-2.320000
370,1.50000000,-2.600000
371,1.50400000,-2.160000
372,1.50800000,-2.560000
373,1.51200000,-2.160000
374,1.51600000,-2.760000
375,1.52000000,-2.280000
376,1.52400000,-2.760000
377,1.52800000,-2.240000
378,1.53200000,-2.640000
379,1.53600000,-2.320000
380,1.54000000,-2.600000
381,1.54400000,-2.240000
382,1.54800000,-2.560000
383,1.55200000,-2.400000
384,1.55600000,-2.680000
